id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
113,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.060366068,0
114,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.037926165,0
115,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,20,21,DE,0.924850405,0
116,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,20,21,DE,0.833366956,0
117,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,SS336,0.45587198,20,21,DE,0.54323595,0
118,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,SS336,0.45587198,20,21,DE,0.36695582,0
119,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,10,21,DE,0.890707497,0
120,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,10,21,DE,0.748840024,0
121,Bravo,12/29/2024,60804-75-3,None,0.5,Acetonitrile,SS336,0.45587198,10,21,DE,0.698169659,0
122,Bravo,12/29/2024,1352428-78-4,None,0.5,Acetonitrile,SS336,0.45587198,10,21,DE,0.499092193,0
123,Charlie,12/30/2024,500295-52-3,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.763226883,0
124,Charlie,12/30/2024,2042201-18-1,None,0.5,Acetonitrile,GMT-oNF-2,0.153480228,30,21,DE,0.840872274,0
125,Charlie,12/30/2024,500295-52-3,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.07650143,0
126,Charlie,12/30/2024,2042201-18-1,None,0.5,Acetonitrile,SS336,0.45587198,30,21,DE,0.147788162,0
127,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.883697813,0
128,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.4,0
129,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.630738523,0
130,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.163868905,0
131,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.407690717,0
132,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.702451955,0
133,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.727272727,0
134,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.779690619,0
135,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.57873701,0
136,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.821997106,0
137,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.876076872,0
138,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.412121212,0
139,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.713572854,0
140,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.142286171,0
141,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.336778995,0
142,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.694499669,0
143,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.303030303,0
144,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.728293413,0
145,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.574740208,0
146,OC1,1/6/2025,1416881-52-1,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.658672731,0
147,OC1,1/6/2025,632-69-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.900265076,0
148,OC1,1/6/2025,1442433-71-7,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.521212121,0
149,OC1,1/6/2025,18531-99-2,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.74251497,0
150,OC1,1/6/2025,140924-50-1,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.210231815,0
