,solute_smiles_1,solvent,membrane,solvent_smiles,solvent_viscosity,solvent_density,permeance,solute_diffusivity_1,solute_density_1,solute_mw_1,solute_solubility_1,solute_rejection_1,solute_molar_volume_1,solute_permeance_1,solute_cost_1,bnf_binary_energy,bnf_binary_recovery,bnf_binary_no_stages,bnf_binary_total_area,bnf_binary_productivity,bnf_binary_cost_EUR,bnf_binary_cost_USA,bnf_binary_cost_IND,bnf_binary_cost_CHN,bnf_binary_cost_membrane,bnf_binary_cost_waste
30,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.655159949168,10000,0.427947307,0.0005039691916676,2.35848614491644e-06,1503683.012,1789826173.1557803,0.001971929910088925,6.0,245880.0,2.0162997766456555e-05,496257.85991486785,496107.21621196053,496092.7981677879,496078.38012361526,565.7745810014645,495468.8542361589
31,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.7692876751000899,10000,0.6477117640000001,0.0005917597500769,1.2091450784229537e-06,2365517.647,41114893.00757157,0.08584265959432069,4.0,10200.0,0.0008816142131700964,393626.1470886644,393622.6865851696,393622.3553818648,393622.02417856,12.939573163221503,393608.07957467885
32,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.97722475710809,10000,0.8175262160000001,0.0007517113516216,5.596251892873015e-07,2230621.059,10343760.158383144,0.34121167840936983,3.0,2520.0,0.0035460017474314705,269175.229571471,269174.35897165764,269174.27564692305,269174.1923221884,3.217063167358432,269170.7224115505
33,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.8611246284720899,10000,0.773507086,0.0006624035603631,7.163708213184198e-07,1808468.588,13064105.317178579,0.2701610006209074,3.0,2520.0,0.002807616036928897,305353.9158063426,305352.81624414504,305352.7110055189,305352.6057668927,4.063130949176624,305348.2232911469
34,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.8772311442280901,10000,0.7215155520000001,0.0006747931878677,9.023610144105954e-07,1466727.059,16995993.273391284,0.20766140042144438,3.0,2520.0,0.002158096382284573,349778.85510470934,349777.4246086088,349777.28769644076,349777.15078427276,5.28600655035349,349771.44932010904
35,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.80526883147609,10000,0.6727482859999999,0.0006194375626739,1.0999670611576512e-06,,35129119.910739675,0.10046968935384204,4.0,10200.0,0.0010318355296274112,,,,,11.055746081131426,
36,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.76928767510009,10000,0.648258152,0.0005917597500769,1.2068807021617462e-06,,40975331.133592136,0.0861350394753106,4.0,10200.0,0.000884616988945496,,,,,12.895650609931126,
37,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.57010949690818,10000,0.442200896,0.0004385457668524,2.358710083273175e-06,240674.0,523679910.59575534,0.00673963559283897,5.0,30720.0,6.894647211474267e-05,184968.09144612108,184924.01505364594,184919.7965210328,184915.57798841968,165.45751019813437,184737.3194137403
38,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.6421094969081801,10000,0.34265558,0.000493930382237,2.9253093525518896e-06,728518.4824,11135757614.358107,0.0003169440182637566,8.0,1475160.0,3.2410185330210837e-06,254240.58759234982,253303.32799314134,253213.6232790257,253123.91856491,3519.7921569479076,249331.91899961114
39,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.4650002799679993,10000,0.98448735,0.001126923292283,4.425719006175672e-08,2953060.518,3781822.1821686523,0.9332569313668715,2.0,600.0,0.010183699635075304,52799.57123885407,52799.25293548707,52799.22247080838,52799.19200612969,1.1201932521418152,52797.97936833532
40,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.5141654425760002,10000,0.2834722756,0.0003955118789046,3.6611792241632967e-06,34153.13882,51599676042.6361,6.839988223549269e-05,9.0,7866840.0,6.995066491565371e-07,32901.761149284524,28558.788415695984,28143.12435868586,27727.460301675736,16308.224699230243,10157.910188069945
41,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.5750793900120003,10000,0.274965083,0.0004423687615476,3.579132756942135e-06,200946.7706,82020663568.28462,4.3030763360839465e-05,9.0,7375080.0,4.4006862025259874e-07,137490.0223104198,130586.61646008918,129925.89444801133,129265.17243593348,25922.574544175433,101337.64833786665
42,Cl[Ru]1(Cl)[P](c(c2c3c([P]1(c4ccccc4)c5ccccc5)ccc6c3cccc6)ccc7c2cccc7)(c8ccccc8)c9ccccc9,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.794039978944,10000,0.94602782,0.000610799983803,1.5742645633006757e-07,,4464093.689369971,0.7906222427880982,2.0,600.0,0.00862726991330373,,,,,1.3222852336472164,
43,CC[C@@H]1[P]2([C@H](CC1)CC)c3c([P]4([C@H](CC[C@@H]4CC)CC)[Rh+]2)cccc3.O=[S-](OC(F)(F)F)=O.C5/C=C\CC/C=C\C5,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.722180653316,10000,0.902796966,0.0005555235794738,2.906363196529507e-07,,5332113.066729239,0.6619161522902312,2.0,600.0,0.007222829053791005,,,,,1.5793965948928173,
44,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)c(CN(C4CCCCC4)C5CCCCC5)c(C)c(CN(C6CCCCC6)C7CCCCC7)c3C)c8c(C)c(CN(C9CCCCC9)C%10CCCCC%10)c(C)c(CN(C%11CCCCC%11)C%12CCCCC%12)c8C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,1.39887266744,10000,0.965609352,0.0010760558980307,9.864861747552792e-08,,4106491.5788093396,0.8594713265500525,2.0,600.0,0.009378551115314175,,,,,1.2163618316717222,
45,Cl[Ru]Cl,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.17184205466,10000,0.1257790868,0.0001321861958923,9.738991879146051e-06,,inf,0.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf
46,I[Pd](I)(=C1N(Cc2ccccc2)C=CN1Cc3ccccc3)=C4N(Cc5ccccc5)C=CN4Cc6ccccc6,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.8559751290239999,10000,0.89514538,0.0006584424069415,3.127362844520264e-07,286854.0235,6684821.867711351,0.5279739437416346,3.0,2520.0,0.005486906356294018,16031.470559468808,16030.907920294942,16030.854070341007,16030.800220387073,2.079078969511601,16028.557734660795
47,Cl[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.92414776801,10000,0.956509768,0.0007108828984692,1.2589992082400258e-07,279960.6871,4269980.565859474,0.8265638942072027,2.0,600.0,0.009019465213588998,14687.68300394342,14687.32361391246,14687.289216846792,14687.254819781123,1.2647880271064431,14685.885654451295
48,CC(C)(c1cc(C(C)(C)C)c2c(C=[N]3[C@H]4CCCC[C@@H]4[N]5=Cc6c(O[Co]5(OC(C)=O)3O2)c(C(C)(C)C)cc(C(C)(C)C)c6)c1)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.6623493782399998,10000,0.5363105459999999,0.000509499521723,1.7573483972530473e-06,38497.30353,214236188.74289346,0.016474395784465516,5.0,30720.0,0.00016853306887508224,12064.714422265628,12046.682876379768,12044.95708485934,12043.23129333891,67.68826847570128,11970.306140249493
49,Cl[Ni]12[N]3=C(C=CC=C3N[P]2(C(C)(C)C)C(C)(C)C)N[P]1(C(C)(C)C)C(C)(C)C,Toluene,GMT-oNF-2,Cc1ccccc1,0.00059,867.0,9.472222222222224e-13,1e-09,1300,0.490181767152,10000,0.668663252,0.0003770628978092,1.1916614548105937e-06,,36041451.12686382,0.09792646118166988,4.0,10200.0,0.001005716277095889,,,,,11.34287261014745,
