solute_smiles,NPR1,NPR2,RoG,Asphericity,Eccentricity,InertialShapeFactor,SpherocityIndex
C1OCCOCCOCCOCCOCCOC1,0.4269597766269583,0.6543018837688979,3.3185803729314007,0.23065885167425557,0.9042706172062972,0.0005478434533961472,0.21433936008615534
c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.21524193171718273,0.8421790778971332,4.154382436189607,0.4884514260589753,0.9765607563437391,0.0006470916300337228,0.13098601297793827
Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5cccc3c5O)ccc4,0.5519545823568636,0.7099140930443466,3.58950338785792,0.12112694069444843,0.8338741745702767,0.00026594847697490386,0.42683971533614795
[H][C@@]1(O[C@](O2)([H])[C@H](OC(C3=CC=CC=C3)=O)C(OC(C4=CC=CC=C4)=O)[C@@](O[C@@]5([H])O[C@H](COC(C6=CC=CC=C6)=O)[C@@]([C@H](OC(C7=CC=CC=C7)=O)[C@H]5OC(C8=CC=CC=C8)=O)([H])O[C@@]9([H])O[C@@H]([C@](O[C@]%10([H])[C@H](OC(C%11=CC=CC=C%11)=O)[C@@H](OC(C%12=CC=CC=C%12)=O)[C@@](O%13)([H])[C@@H](COC(C%14=CC=CC=C%14)=O)O%10)([H])[C@H](OC(C%15=CC=CC=C%15)=O)[C@H]9OC(C%16=CC=CC=C%16)=O)COC(C%17=CC=CC=C%17)=O)([H])[C@H]2COC(C%18=CC=CC=C%18)=O)[C@@H](COC(C%19=CC=CC=C%19)=O)O[C@](O[C@]%20([H])[C@@H](COC(C%21=CC=CC=C%21)=O)O[C@@](O[C@]%22([H])[C@@H](COC(C%23=CC=CC=C%23)=O)O[C@@]%13([H])[C@H](OC(C%24=CC=CC=C%24)=O)[C@H]%22OC(C%25=CC=CC=C%25)=O)([H])[C@@H]([C@H]%20OC(C%26=CC=CC=C%26)=O)OC(C%27=CC=CC=C%27)=O)([C@@H]([C@H]1OC(C%28=CC=CC=C%28)=O)OC(C%29=CC=CC=C%29)=O)[H],0.6309802534091276,0.7155283469302417,8.66495235201537,0.0814543755233636,0.7757988913421784,5.335420476858838e-06,0.4793981711023525
Cl[Ru]1(Cl)[P](c(c2c3c([P]1(c4ccccc4)c5ccccc5)ccc6c3cccc6)ccc7c2cccc7)(c8ccccc8)c9ccccc9,0.7338750846651635,0.7661897805486283,4.2469567939114885,0.04048875615589608,0.6792844471263119,9.105342115107808e-05,0.7392015247638715
CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)c(CN(C4CCCCC4)C5CCCCC5)c(C)c(CN(C6CCCCC6)C7CCCCC7)c3C)c8c(C)c(CN(C9CCCCC9)C%10CCCCC%10)c(C)c(CN(C%11CCCCC%11)C%12CCCCC%12)c8C,0.46995890991771355,0.7461065029686121,6.371176134963382,0.17172372309773623,0.8826882932207465,3.095533903702232e-05,0.28342846231433727
Cl[Ru]Cl,0.25919704766526896,0.7408029523347309,1.1519549304274312,0.4239581855593683,0.9658244615258035,0.012523733999542546,0.0
P(c(c1c2c(P(c3ccccc3)c4ccccc4)ccc5c2cccc5)ccc6c1cccc6)(c7ccccc7)c8ccccc8,0.6461831721202543,0.8496044236921056,4.362787569306331,0.06074385211758583,0.7631823557110095,0.00013843315497249312,0.642798269446347
I[Pd](I)(=C1N(Cc2ccccc2)C=CN1Cc3ccccc3)=C4N(Cc5ccccc5)C=CN4Cc6ccccc6,0.5228876200313989,0.8866502919703161,4.058897404061153,0.12842432625608194,0.8524016288217072,0.00014471334263683425,0.30947298169235693
CC(O[Pd]OC(C)=O)=O,0.06703805368179641,0.956160318935528,5.748320850923276,0.8124815937980955,0.9977504193727792,0.001944929966997132,0.2343850108831211
Cl[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,0.7463172334385939,0.848492942335196,4.36747266379261,0.029035684405078657,0.6655904048831859,8.357721918518403e-05,0.6802608680916885
CC(C)(c1cc(C(C)(C)C)c2c(C=[N]3[C@H]4CCCC[C@@H]4[N]5=Cc6c(O[Co]5(OC(C)=O)3O2)c(C(C)(C)C)cc(C(C)(C)C)c6)c1)C,0.41624005169508116,0.8699374749122707,4.800744667542865,0.2156401718561269,0.9092547604301427,0.00015639532145761002,0.4233280910254174
Cl[Ni]12[N]3=C(C=CC=C3N[P]2(C(C)(C)C)C(C)(C)C)N[P]1(C(C)(C)C)C(C)(C)C,0.4433500302132847,0.9398196486602198,3.4908841783276827,0.197187488529948,0.8963485654085019,0.00042157478209668464,0.5756343820304103
Br[Ni]12[N]3=C(C=CC=C3N[P]2(C(C)(C)C)C(C)(C)C)N[P]1(C(C)(C)C)C(C)(C)C,0.5900378029907773,0.7979821032392244,3.6637057585059334,0.08842259255286235,0.807375619548805,0.00022439544019756637,0.5829153704437425
Cl[Ni]12[N]3=C(N[P]2(c4ccccc4)c5ccccc5)C=CC=C3N[P]1(c6ccccc6)c7ccccc7,0.3700285263532013,0.9222516103047677,4.119026855036527,0.2694272366942163,0.9290203925021658,0.00029454022381601925,0.3686985895737192
Cl[Ni]12[N]3=C(N[P]2(C(C)(C)C)C(C)(C)C)C=CC=C3N[P]1(c4ccccc4)c5ccccc5,0.4792315886177917,0.9273698637893951,3.8890320058190917,0.164822166526125,0.8776884894259852,0.0002895806911594054,0.4991910453047545
[H][Ru]12(Cl)(C=O)[N]3=C(N[P](C(C)(C)C)2C(C)(C)C)C=CC=C3N[P](C(C)(C)C)1C(C)(C)C,0.4942360867383918,0.9338353206674157,3.49382555214415,0.1538190218046698,0.8693277233388573,0.0003331397671035265,0.5341249174132642
[H][Ru]12(C=O)(n3c(c4n2cccc4)cccc3N[P]1(C(C)(C)C)C(C)(C)C)Cl,0.49618907135624657,0.78836101078366,3.0157247785559362,0.14714256236650888,0.8682144927761951,0.00041405996125247143,0.48168909044768565
CC([P]1(NC2=CC=CC(N3)=[N]2[Mn+]1(C=O)(C=O)[P]3(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C,0.5998771776009643,0.9207313683236502,3.2062032557260607,0.084781799275552,0.8000921020691938,0.0003686094450476934,0.6403875156385919
